Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.wav,1,25.71,299596.0,1200.0,91.21,2348.8
cr_audio1.wav,1,25.45,300348.0,1200.0,91.08,2317.13
cr_audio1.wav,1,25.56,302316.0,1200.0,91.06,2326.39
cr_audio1.wav,1,25.42,304236.0,1200.0,91.05,2316.88
cr_audio1.wav,1,25.42,302424.0,1200.0,91.11,2314.01
cr_audio1.wav,1,25.45,304616.0,1200.0,91.1,2318.51
cr_audio1.wav,1,25.46,308556.0,1200.0,91.3,2323.28
cr_audio1.wav,1,25.42,306744.0,1200.0,91.48,2323.45
cr_audio1.wav,1,25.42,305772.0,1200.0,91.17,2320.26
cr_audio1.wav,1,25.45,308824.0,1200.0,91.12,2318.77
cr_audio1.wav,2,15.39,324668.0,1200.0,93.34,1437.37
cr_audio1.wav,2,15.38,299912.0,1200.0,93.62,1441.65
cr_audio1.wav,2,15.41,316568.0,1200.0,93.33,1441.91
cr_audio1.wav,2,15.38,298520.0,1200.0,93.33,1434.09
cr_audio1.wav,2,15.39,297492.0,1200.0,93.3,1436.95
cr_audio1.wav,2,15.38,293660.0,1200.0,93.29,1436.73
cr_audio1.wav,2,15.4,296472.0,1200.0,93.31,1436.97
cr_audio1.wav,2,15.4,313836.0,1200.0,93.26,1436.11
cr_audio1.wav,2,15.38,297156.0,1200.0,93.27,1436.54
cr_audio1.wav,2,15.39,304832.0,1200.0,93.23,1435.67
cr_audio1.wav,4,10.23,290448.0,1200.0,95.97,983.56
cr_audio1.wav,4,10.24,317820.0,1200.0,95.96,983.82
cr_audio1.wav,4,10.24,324980.0,1200.0,95.95,983.69
cr_audio1.wav,4,10.24,311552.0,1200.0,95.94,984.85
cr_audio1.wav,4,10.23,307508.0,1200.0,95.97,983.52
cr_audio1.wav,4,10.23,310700.0,1200.0,96.02,984.33
cr_audio1.wav,4,10.24,318168.0,1200.0,96.0,984.03
cr_audio1.wav,4,10.24,312712.0,1200.0,95.95,983.39
cr_audio1.wav,4,10.24,319096.0,1200.0,96.0,983.95
cr_audio1.wav,4,10.24,301280.0,1200.0,95.98,984.24
cr_audio1.wav,8,7.69,310748.0,1200.0,97.72,752.58
cr_audio1.wav,8,7.68,305580.0,1200.0,97.69,752.39
cr_audio1.wav,8,7.68,305340.0,1200.0,97.72,752.35
cr_audio1.wav,8,7.68,308588.0,1200.0,97.76,753.17
cr_audio1.wav,8,7.68,296148.0,1200.0,97.73,752.63
