Name,TR,TIM,MEM,SIZ,RAT,RT,FR,POW,EN
cr_audio1.wav,1,28.14,122589.2,119548185.0,1.77,0.0628997867803838,1200.0,91.5,2575.08
cr_audio1.wav,2,14.54,151298.0,119548292.0,1.77,0.12173314993122422,1200.0,94.42,1373.32
cr_audio1.wav,4,7.5,192372.4,119548356.0,1.77,0.236,1200.0,100.25,751.17
cr_audio1.wav,8,7.38,275189.2,119548313.6,1.77,0.2398373983739837,1200.0,100.98,736.09
cr_audio1.wav,16,11.17,434641.6,119548292.0,1.77,0.1584601611459266,1200.0,96.28,1075.2
cr_audio1.wav,32,10.31,435890.8,119548299.2,1.77,0.1716779825412221,1200.0,97.06,997.81
cr_audio1.wav,1,21.34,122664.0,119548185.0,1.77,0.08294283036551077,1600.0,94.69,1917.83
cr_audio1.wav,2,11.0,150948.8,119548292.0,1.77,0.16090909090909092,1600.0,99.64,1038.34
cr_audio1.wav,4,5.75,192602.8,119548348.8,1.77,0.3078260869565217,1600.0,106.56,585.15
cr_audio1.wav,8,3.1,275694.8,119548304.6,1.77,0.5709677419354838,1600.0,115.42,418.75
cr_audio1.wav,16,8.62,436141.6,119548292.0,1.77,0.2053364269141532,1600.0,101.54,877.7
cr_audio1.wav,32,8.21,435960.4,119548306.4,1.77,0.2155907429963459,1600.0,101.65,909.16
cr_audio1.wav,1,18.92,122892.0,119548185.0,1.77,0.09355179704016912,1800.0,96.31,1729.32
cr_audio1.wav,2,9.84,151223.2,119548292.0,1.77,0.1798780487804878,1800.0,101.72,952.17
cr_audio1.wav,4,5.17,192322.4,119548352.4,1.77,0.3423597678916828,1800.0,109.97,540.6
cr_audio1.wav,8,2.78,275021.6,119548299.5,1.77,0.6366906474820144,1800.0,121.61,365.89
cr_audio1.wav,16,7.86,435543.2,119548299.2,1.77,0.2251908396946565,1800.0,104.01,852.47
cr_audio1.wav,32,7.59,435942.0,119548295.6,1.77,0.233201581027668,1800.0,104.68,853.68
cr_audio1.wav,1,15.61,123192.4,119548185.0,1.77,0.1133888532991672,2200.0,100.69,1493.13
cr_audio1.wav,2,8.07,151032.0,119548292.0,1.77,0.21933085501858732,2200.0,106.85,816.06
cr_audio1.wav,4,4.23,193979.2,119548351.2,1.77,0.4184397163120567,2200.0,117.87,474.73
cr_audio1.wav,8,3.66,273512.8,119548302.2,1.77,0.4836065573770492,2200.0,125.01,455.26
cr_audio1.wav,16,6.88,434527.2,119548311.2,1.77,0.25726744186046513,2200.0,110.86,757.29
