Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.wav,1,25.39,170720.0,1200.0,91.19,2315.27
cr_audio1.wav,1,25.38,175272.0,1200.0,91.17,2315.52
cr_audio1.wav,1,25.4,170740.0,1200.0,91.16,2315.11
cr_audio1.wav,1,25.41,168688.0,1200.0,91.14,2315.09
cr_audio1.wav,1,25.42,165420.0,1200.0,91.14,2314.71
cr_audio1.wav,1,25.41,162620.0,1200.0,91.15,2314.98
cr_audio1.wav,1,25.39,169104.0,1200.0,91.15,2314.55
cr_audio1.wav,1,25.4,168988.0,1200.0,91.15,2315.16
cr_audio1.wav,1,25.41,163948.0,1200.0,91.14,2314.56
cr_audio1.wav,1,25.39,165188.0,1200.0,91.33,2319.7
cr_audio1.wav,2,15.4,169836.0,1200.0,92.66,1427.29
cr_audio1.wav,2,15.4,176156.0,1200.0,92.65,1426.75
cr_audio1.wav,2,15.4,175756.0,1200.0,92.69,1427.29
cr_audio1.wav,2,15.4,167664.0,1200.0,92.64,1431.19
cr_audio1.wav,2,15.39,170576.0,1200.0,92.67,1427.04
cr_audio1.wav,2,15.39,168752.0,1200.0,92.67,1427.04
cr_audio1.wav,2,15.4,165320.0,1200.0,92.67,1427.07
cr_audio1.wav,2,15.4,173916.0,1200.0,92.66,1427.77
cr_audio1.wav,2,15.4,172152.0,1200.0,92.68,1426.96
cr_audio1.wav,2,15.39,161964.0,1200.0,92.7,1432.07
cr_audio1.wav,4,10.26,171332.0,1200.0,95.36,977.35
cr_audio1.wav,4,10.26,171084.0,1200.0,95.38,982.54
cr_audio1.wav,4,10.21,170968.0,1200.0,95.33,978.5
cr_audio1.wav,4,10.26,169188.0,1200.0,95.33,977.07
cr_audio1.wav,4,10.22,173940.0,1200.0,95.37,977.79
cr_audio1.wav,4,10.26,169796.0,1200.0,95.36,977.87
cr_audio1.wav,4,10.22,170744.0,1200.0,95.37,977.63
cr_audio1.wav,4,10.23,175836.0,1200.0,95.41,977.91
cr_audio1.wav,4,10.22,174696.0,1200.0,95.34,977.27
cr_audio1.wav,4,10.23,174012.0,1200.0,95.33,977.26
cr_audio1.wav,8,7.52,172648.0,1200.0,98.0,740.06
cr_audio1.wav,8,7.52,177104.0,1200.0,98.04,735.55
cr_audio1.wav,8,7.52,182052.0,1200.0,98.04,735.47
cr_audio1.wav,8,7.52,181628.0,1200.0,98.26,741.83
cr_audio1.wav,8,7.53,176404.0,1200.0,98.2,740.65
cr_audio1.wav,8,7.52,183080.0,1200.0,97.98,738.71
cr_audio1.wav,8,7.53,188928.0,1200.0,98.04,735.5
cr_audio1.wav,8,7.52,183120.0,1200.0,98.08,740.88
cr_audio1.wav,8,7.53,185096.0,1200.0,98.06,740.37
cr_audio1.wav,8,7.53,179356.0,1200.0,98.31,741.76
cr_audio1.wav,16,6.36,183140.0,1200.0,99.94,639.54
cr_audio1.wav,16,6.34,188276.0,1200.0,100.03,635.58
cr_audio1.wav,16,6.35,198916.0,1200.0,99.53,632.4
cr_audio1.wav,16,6.35,183504.0,1200.0,100.83,640.28
cr_audio1.wav,16,6.35,185352.0,1200.0,99.51,637.0
cr_audio1.wav,16,6.35,197388.0,1200.0,100.76,640.07
cr_audio1.wav,16,6.35,178708.0,1200.0,100.02,640.27
cr_audio1.wav,16,6.34,176156.0,1200.0,100.56,638.77
cr_audio1.wav,16,6.35,191380.0,1200.0,99.66,633.37
cr_audio1.wav,16,6.35,187220.0,1200.0,100.09,640.82
cr_audio1.wav,32,6.35,188052.0,1200.0,99.36,631.21
cr_audio1.wav,32,6.35,183440.0,1200.0,99.78,633.69
cr_audio1.wav,32,6.35,183580.0,1200.0,99.92,634.87
cr_audio1.wav,32,6.35,181732.0,1200.0,99.63,633.05
cr_audio1.wav,32,6.36,191420.0,1200.0,100.38,637.45
cr_audio1.wav,32,6.35,193184.0,1200.0,99.67,632.82
cr_audio1.wav,32,6.35,188020.0,1200.0,100.38,637.64
cr_audio1.wav,32,6.35,185680.0,1200.0,100.03,635.67
cr_audio1.wav,32,6.35,191928.0,1200.0,99.41,636.1
cr_audio1.wav,32,6.35,181972.0,1200.0,99.53,632.22
cr_audio1.wav,1,19.08,165300.0,1600.0,93.91,1793.07
cr_audio1.wav,1,19.07,170028.0,1600.0,93.89,1793.13
cr_audio1.wav,1,19.06,163756.0,1600.0,94.12,1792.7
cr_audio1.wav,1,19.05,167236.0,1600.0,93.94,1789.29
cr_audio1.wav,1,19.05,167592.0,1600.0,93.93,1789.02
cr_audio1.wav,1,19.08,169720.0,1600.0,94.35,1801.95
cr_audio1.wav,1,19.06,165548.0,1600.0,93.94,1789.34
cr_audio1.wav,1,19.05,167140.0,1600.0,93.96,1789.78
cr_audio1.wav,1,19.06,168576.0,1600.0,93.92,1793.55
cr_audio1.wav,1,19.16,169776.0,1600.0,93.91,1798.17
cr_audio1.wav,2,11.56,176448.0,1600.0,96.67,1116.3
cr_audio1.wav,2,11.55,172732.0,1600.0,96.61,1115.78
cr_audio1.wav,2,11.55,172504.0,1600.0,96.64,1116.06
cr_audio1.wav,2,11.55,170728.0,1600.0,96.63,1115.93
cr_audio1.wav,2,11.55,170404.0,1600.0,96.61,1115.83
cr_audio1.wav,2,11.55,167656.0,1600.0,96.71,1121.83
cr_audio1.wav,2,11.55,173648.0,1600.0,96.62,1115.88
cr_audio1.wav,2,11.55,168696.0,1600.0,96.59,1115.65
cr_audio1.wav,2,11.55,168808.0,1600.0,96.61,1115.79
cr_audio1.wav,2,11.55,170016.0,1600.0,96.67,1116.63
cr_audio1.wav,4,7.7,172012.0,1600.0,99.7,767.97
cr_audio1.wav,4,7.7,169752.0,1600.0,99.61,772.0
cr_audio1.wav,4,7.67,170000.0,1600.0,99.64,766.42
cr_audio1.wav,4,7.75,173312.0,1600.0,99.76,773.26
cr_audio1.wav,4,7.71,170628.0,1600.0,99.58,766.94
cr_audio1.wav,4,7.71,173932.0,1600.0,99.57,771.76
cr_audio1.wav,4,7.7,172244.0,1600.0,99.58,766.97
cr_audio1.wav,4,7.71,168160.0,1600.0,99.6,767.02
cr_audio1.wav,4,7.7,166972.0,1600.0,99.64,767.13
cr_audio1.wav,4,7.71,171964.0,1600.0,99.59,771.88
cr_audio1.wav,8,5.65,178900.0,1600.0,103.26,583.45
cr_audio1.wav,8,5.65,184180.0,1600.0,103.42,584.88
cr_audio1.wav,8,5.65,177964.0,1600.0,103.47,590.23
cr_audio1.wav,8,5.65,191124.0,1600.0,103.49,586.74
cr_audio1.wav,8,5.65,180444.0,1600.0,103.47,584.87
cr_audio1.wav,8,5.65,182888.0,1600.0,103.21,583.54
cr_audio1.wav,8,5.65,182604.0,1600.0,103.48,584.89
cr_audio1.wav,8,5.65,174040.0,1600.0,103.5,585.35
cr_audio1.wav,8,5.64,175284.0,1600.0,103.63,585.87
cr_audio1.wav,8,5.64,174248.0,1600.0,103.2,588.55
cr_audio1.wav,16,4.76,191492.0,1600.0,106.82,513.11
cr_audio1.wav,16,4.76,187788.0,1600.0,108.02,513.76
cr_audio1.wav,16,4.77,190524.0,1600.0,106.2,509.62
cr_audio1.wav,16,4.76,190932.0,1600.0,108.28,520.38
cr_audio1.wav,16,4.76,189796.0,1600.0,106.67,507.1
cr_audio1.wav,16,4.77,188148.0,1600.0,106.19,504.66
cr_audio1.wav,16,4.76,192952.0,1600.0,107.67,511.74
cr_audio1.wav,16,4.77,184544.0,1600.0,108.05,513.88
cr_audio1.wav,16,4.76,184612.0,1600.0,107.05,513.85
cr_audio1.wav,16,4.76,185076.0,1600.0,106.79,507.77
cr_audio1.wav,32,4.76,186316.0,1600.0,107.52,510.92
cr_audio1.wav,32,4.76,189316.0,1600.0,106.41,505.83
cr_audio1.wav,32,4.76,194048.0,1600.0,106.19,504.88
cr_audio1.wav,32,4.76,179160.0,1600.0,106.33,505.6
cr_audio1.wav,32,4.77,184792.0,1600.0,107.73,517.6
cr_audio1.wav,32,4.77,186516.0,1600.0,107.91,518.51
cr_audio1.wav,32,4.77,188824.0,1600.0,106.22,505.06
cr_audio1.wav,32,4.76,190332.0,1600.0,106.4,505.71
cr_audio1.wav,32,4.76,181288.0,1600.0,106.52,506.39
cr_audio1.wav,32,4.76,181388.0,1600.0,106.56,506.6
cr_audio1.wav,1,16.96,170396.0,1800.0,95.98,1626.79
cr_audio1.wav,1,16.94,167504.0,1800.0,95.95,1626.21
cr_audio1.wav,1,17.12,165592.0,1800.0,95.94,1645.27
cr_audio1.wav,1,16.94,168772.0,1800.0,95.95,1626.23
cr_audio1.wav,1,16.95,170884.0,1800.0,95.93,1625.87
cr_audio1.wav,1,16.95,172900.0,1800.0,95.92,1627.2
cr_audio1.wav,1,16.94,165592.0,1800.0,95.93,1625.93
cr_audio1.wav,1,16.95,170456.0,1800.0,95.9,1624.36
cr_audio1.wav,1,16.94,161704.0,1800.0,95.92,1626.53
cr_audio1.wav,1,16.96,167896.0,1800.0,95.9,1630.07
cr_audio1.wav,2,10.27,170064.0,1800.0,99.03,1015.02
cr_audio1.wav,2,10.28,172012.0,1800.0,99.03,1015.06
cr_audio1.wav,2,10.28,175608.0,1800.0,99.04,1019.99
cr_audio1.wav,2,10.27,168312.0,1800.0,99.02,1015.08
cr_audio1.wav,2,10.27,168584.0,1800.0,99.03,1019.97
cr_audio1.wav,2,10.27,166464.0,1800.0,99.16,1021.2
cr_audio1.wav,2,10.27,169732.0,1800.0,99.02,1015.22
cr_audio1.wav,2,10.28,170760.0,1800.0,99.02,1014.95
cr_audio1.wav,2,10.28,172324.0,1800.0,99.03,1015.11
cr_audio1.wav,2,10.28,174796.0,1800.0,99.0,1019.65
cr_audio1.wav,4,6.86,172320.0,1800.0,102.54,707.48
cr_audio1.wav,4,5.87,175516.0,1800.0,104.67,612.59
cr_audio1.wav,4,6.8,171260.0,1800.0,102.68,698.53
cr_audio1.wav,4,6.84,170280.0,1800.0,102.57,702.68
cr_audio1.wav,4,6.84,174028.0,1800.0,102.58,702.92
cr_audio1.wav,4,6.85,174072.0,1800.0,102.56,703.38
cr_audio1.wav,4,6.85,169936.0,1800.0,102.71,703.83
cr_audio1.wav,4,6.85,169036.0,1800.0,102.61,702.93
cr_audio1.wav,4,6.84,169392.0,1800.0,102.58,701.06
cr_audio1.wav,4,6.84,177940.0,1800.0,102.54,702.56
cr_audio1.wav,8,5.02,182108.0,1800.0,106.96,540.52
cr_audio1.wav,8,5.02,175752.0,1800.0,107.36,537.18
cr_audio1.wav,8,5.02,186028.0,1800.0,106.74,539.42
cr_audio1.wav,8,5.02,184668.0,1800.0,107.11,535.96
cr_audio1.wav,8,5.02,167552.0,1800.0,106.98,535.54
cr_audio1.wav,8,5.01,169480.0,1800.0,107.57,538.22
cr_audio1.wav,8,5.02,181512.0,1800.0,106.89,540.2
cr_audio1.wav,8,5.02,182056.0,1800.0,107.58,538.71
cr_audio1.wav,8,5.02,184012.0,1800.0,107.07,535.71
cr_audio1.wav,8,5.02,173780.0,1800.0,106.99,535.19
cr_audio1.wav,16,4.24,178800.0,1800.0,112.25,477.95
cr_audio1.wav,16,4.23,173888.0,1800.0,112.03,471.33
cr_audio1.wav,16,4.23,182180.0,1800.0,112.0,476.83
cr_audio1.wav,16,4.23,189996.0,1800.0,113.55,483.31
cr_audio1.wav,16,4.24,185416.0,1800.0,111.87,470.64
cr_audio1.wav,16,4.24,180604.0,1800.0,112.99,480.63
cr_audio1.wav,16,4.24,194228.0,1800.0,111.33,468.14
cr_audio1.wav,16,4.23,185628.0,1800.0,112.67,473.81
cr_audio1.wav,16,4.23,183272.0,1800.0,111.3,473.7
cr_audio1.wav,16,4.23,181308.0,1800.0,110.64,470.99
cr_audio1.wav,32,4.24,185332.0,1800.0,111.86,475.9
cr_audio1.wav,32,4.24,183432.0,1800.0,110.91,470.64
cr_audio1.wav,32,4.23,174604.0,1800.0,111.23,473.25
cr_audio1.wav,32,4.24,187784.0,1800.0,112.13,477.21
cr_audio1.wav,32,4.23,184104.0,1800.0,111.44,474.13
cr_audio1.wav,32,4.23,176048.0,1800.0,112.08,477.04
cr_audio1.wav,32,4.23,168484.0,1800.0,111.49,474.44
cr_audio1.wav,32,4.24,185804.0,1800.0,113.51,483.17
cr_audio1.wav,32,4.23,184240.0,1800.0,111.14,467.23
cr_audio1.wav,32,4.23,185692.0,1800.0,110.84,466.07
cr_audio1.wav,1,13.87,166708.0,2200.0,100.24,1388.74
cr_audio1.wav,1,13.87,164124.0,2200.0,100.24,1387.79
cr_audio1.wav,1,13.88,167572.0,2200.0,100.25,1393.06
cr_audio1.wav,1,13.87,164416.0,2200.0,100.23,1393.17
cr_audio1.wav,1,13.88,167184.0,2200.0,100.23,1392.95
cr_audio1.wav,1,13.87,162508.0,2200.0,100.22,1388.13
cr_audio1.wav,1,13.87,170328.0,2200.0,100.23,1387.97
