Name,TR,TIM,MEM,FR,POW,EN
app4,1,52.9,527036.0,1200.0,92.22,4878.41
app4,1,52.83,530716.0,1200.0,92.19,4867.31
app4,1,52.93,527032.0,1200.0,92.19,4881.29
app4,1,52.85,530728.0,1200.0,92.21,4873.11
app4,1,54.05,527032.0,1200.0,92.18,4982.21
app4,1,52.89,527032.0,1200.0,92.16,4874.92
app4,1,52.92,527092.0,1200.0,92.42,4889.13
app4,1,52.85,527032.0,1200.0,92.22,4873.48
app4,1,52.88,530944.0,1200.0,92.21,4878.21
app4,1,52.93,524992.0,1200.0,92.17,4880.03
app4,2,52.13,534940.0,1200.0,92.31,4813.93
app4,2,52.21,536684.0,1200.0,92.31,4818.7
app4,2,52.17,532408.0,1200.0,92.34,4820.15
app4,2,52.15,538196.0,1200.0,92.32,4814.52
app4,2,52.23,532220.0,1200.0,92.41,4827.46
app4,2,52.17,536684.0,1200.0,92.37,4821.72
app4,2,52.17,531792.0,1200.0,92.39,4822.38
app4,2,52.16,532528.0,1200.0,92.35,4816.37
app4,2,52.37,536684.0,1200.0,92.4,4837.14
app4,2,52.2,536684.0,1200.0,92.39,4822.34
app4,4,51.78,532868.0,1200.0,92.39,4785.59
app4,4,51.85,536700.0,1200.0,92.37,4788.99
app4,4,51.89,529068.0,1200.0,92.36,4792.63
app4,4,51.98,529752.0,1200.0,92.38,4803.31
app4,4,51.81,536700.0,1200.0,92.39,4785.4
app4,4,52.99,532176.0,1200.0,92.4,4896.98
app4,4,51.91,534908.0,1200.0,92.39,4794.75
app4,4,51.88,532484.0,1200.0,92.4,4795.64
app4,4,51.78,532492.0,1200.0,92.37,4784.72
app4,4,51.82,536700.0,1200.0,92.37,4788.85
app4,8,51.59,536736.0,1200.0,92.38,4766.39
app4,8,51.64,532144.0,1200.0,92.4,4771.98
app4,8,51.57,536732.0,1200.0,92.39,4766.98
app4,8,51.62,536732.0,1200.0,92.7,4787.66
app4,8,51.63,532464.0,1200.0,92.48,4775.9
app4,8,51.63,536732.0,1200.0,92.42,4772.65
app4,8,51.73,534620.0,1200.0,92.4,4781.58
app4,8,51.61,531140.0,1200.0,92.38,4771.15
app4,8,51.61,534664.0,1200.0,92.37,4770.72
app4,8,51.65,536736.0,1200.0,92.36,4770.15
app4,16,51.65,529020.0,1200.0,92.5,4777.32
app4,16,51.67,531240.0,1200.0,92.92,4803.65
app4,16,51.72,531884.0,1200.0,92.56,4789.57
app4,16,51.68,531244.0,1200.0,92.49,4782.29
app4,16,51.67,535140.0,1200.0,92.7,4787.86
app4,16,51.67,532652.0,1200.0,92.53,4783.58
app4,16,51.64,537380.0,1200.0,92.5,4778.77
