Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.flac,1,4.64,407736.0,1200.0,95.86,445.53
cr_audio1.flac,1,4.64,407744.0,1200.0,95.84,445.97
cr_audio1.flac,1,4.7,411832.0,1200.0,95.79,450.16
cr_audio1.flac,1,4.63,407744.0,1200.0,95.84,445.32
cr_audio1.flac,1,4.64,407840.0,1200.0,95.79,445.39
cr_audio1.flac,1,4.64,410128.0,1200.0,95.8,445.34
cr_audio1.flac,1,4.62,407736.0,1200.0,95.81,440.61
cr_audio1.flac,1,4.64,409796.0,1200.0,95.8,445.44
cr_audio1.flac,1,4.63,411824.0,1200.0,95.77,445.22
cr_audio1.flac,1,4.63,407740.0,1200.0,95.75,446.91
cr_audio1.flac,2,3.02,411864.0,1200.0,98.4,300.13
cr_audio1.flac,2,3.04,411856.0,1200.0,98.44,300.39
cr_audio1.flac,2,3.03,412012.0,1200.0,98.39,300.11
cr_audio1.flac,2,3.03,416860.0,1200.0,98.52,300.55
cr_audio1.flac,2,3.03,415956.0,1200.0,98.45,300.31
cr_audio1.flac,2,3.04,411864.0,1200.0,98.42,300.25
cr_audio1.flac,2,3.07,414180.0,1200.0,98.33,304.87
cr_audio1.flac,2,3.03,411864.0,1200.0,98.44,300.42
cr_audio1.flac,2,3.03,414160.0,1200.0,98.35,295.16
cr_audio1.flac,2,3.02,411852.0,1200.0,98.46,299.7
cr_audio1.flac,4,2.09,411872.0,1200.0,101.83,214.13
cr_audio1.flac,4,2.08,413932.0,1200.0,101.89,209.04
cr_audio1.flac,4,2.1,411876.0,1200.0,101.83,214.02
cr_audio1.flac,4,2.1,411876.0,1200.0,101.75,219.27
cr_audio1.flac,4,2.1,413560.0,1200.0,101.89,214.2
cr_audio1.flac,4,2.07,414256.0,1200.0,101.83,208.82
cr_audio1.flac,4,2.11,411884.0,1200.0,101.8,219.1
cr_audio1.flac,4,2.13,416880.0,1200.0,101.88,218.97
cr_audio1.flac,4,2.1,413924.0,1200.0,101.92,214.24
cr_audio1.flac,4,2.09,411892.0,1200.0,101.93,214.14
cr_audio1.flac,8,1.63,411920.0,1200.0,103.63,170.97
cr_audio1.flac,8,1.65,411916.0,1200.0,103.99,171.83
cr_audio1.flac,8,1.63,416008.0,1200.0,103.75,171.06
cr_audio1.flac,8,1.64,414212.0,1200.0,103.27,175.95
cr_audio1.flac,8,1.63,412020.0,1200.0,104.01,171.82
