Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.flac,1,12.46,298640.0,1200.0,91.92,1144.36
cr_audio1.flac,1,12.21,302892.0,1200.0,91.94,1122.15
cr_audio1.flac,1,12.18,303728.0,1200.0,91.86,1116.31
cr_audio1.flac,1,12.21,300408.0,1200.0,91.92,1125.99
cr_audio1.flac,1,12.18,303120.0,1200.0,91.7,1113.52
cr_audio1.flac,1,12.24,302668.0,1200.0,91.83,1124.65
cr_audio1.flac,1,12.2,299932.0,1200.0,91.74,1119.16
cr_audio1.flac,1,12.21,303776.0,1200.0,91.92,1124.09
cr_audio1.flac,1,12.22,303332.0,1200.0,92.09,1128.06
cr_audio1.flac,1,12.18,299940.0,1200.0,91.64,1116.83
cr_audio1.flac,2,6.06,308560.0,1200.0,95.04,579.7
cr_audio1.flac,2,6.2,304264.0,1200.0,94.93,588.55
cr_audio1.flac,2,6.06,306808.0,1200.0,95.16,580.59
cr_audio1.flac,2,6.07,308692.0,1200.0,95.21,575.87
cr_audio1.flac,2,6.18,302688.0,1200.0,95.05,584.28
cr_audio1.flac,2,6.19,309036.0,1200.0,95.08,589.41
cr_audio1.flac,2,6.5,308076.0,1200.0,94.72,615.81
cr_audio1.flac,2,6.06,309696.0,1200.0,95.09,575.27
cr_audio1.flac,2,6.07,305340.0,1200.0,95.12,580.3
cr_audio1.flac,2,6.06,307040.0,1200.0,95.01,574.86
cr_audio1.flac,4,4.53,303352.0,1200.0,97.96,440.9
cr_audio1.flac,4,4.54,302000.0,1200.0,97.81,445.11
cr_audio1.flac,4,4.57,303444.0,1200.0,97.67,449.35
cr_audio1.flac,4,4.54,303088.0,1200.0,97.75,444.99
cr_audio1.flac,4,4.55,310408.0,1200.0,97.82,445.16
cr_audio1.flac,4,4.55,305532.0,1200.0,97.72,444.65
cr_audio1.flac,4,4.56,306816.0,1200.0,97.88,445.57
cr_audio1.flac,4,4.51,304244.0,1200.0,97.96,440.89
cr_audio1.flac,4,4.56,308584.0,1200.0,97.75,449.8
cr_audio1.flac,4,4.57,306632.0,1200.0,97.75,444.24
cr_audio1.flac,8,4.2,317536.0,1200.0,98.59,413.85
cr_audio1.flac,8,4.23,312228.0,1200.0,98.62,413.86
cr_audio1.flac,8,4.21,305056.0,1200.0,98.9,414.98
cr_audio1.flac,8,4.21,309440.0,1200.0,98.83,414.75
cr_audio1.flac,8,4.22,306480.0,1200.0,98.77,419.45
cr_audio1.flac,8,4.22,309140.0,1200.0,98.77,414.92
cr_audio1.flac,8,4.23,313224.0,1200.0,98.79,419.47
cr_audio1.flac,8,4.22,305848.0,1200.0,99.03,420.68
cr_audio1.flac,8,4.23,318428.0,1200.0,98.78,419.59
cr_audio1.flac,8,4.24,316652.0,1200.0,98.79,419.59
cr_audio1.flac,16,4.11,303072.0,1200.0,100.08,409.56
cr_audio1.flac,16,4.15,309520.0,1200.0,100.46,421.55
cr_audio1.flac,16,4.14,303548.0,1200.0,100.38,416.19
cr_audio1.flac,16,4.15,305768.0,1200.0,100.34,416.06
cr_audio1.flac,16,4.13,313152.0,1200.0,100.29,415.51
cr_audio1.flac,16,4.12,303632.0,1200.0,101.06,418.72
cr_audio1.flac,16,4.16,316204.0,1200.0,100.29,421.17
cr_audio1.flac,16,4.13,310560.0,1200.0,100.48,411.13
cr_audio1.flac,16,4.13,314176.0,1200.0,100.25,415.56
cr_audio1.flac,16,4.12,305928.0,1200.0,100.39,414.93
cr_audio1.flac,32,4.12,309928.0,1200.0,100.22,411.25
cr_audio1.flac,32,4.13,308292.0,1200.0,100.35,415.66
cr_audio1.flac,32,4.12,304504.0,1200.0,100.21,415.5
cr_audio1.flac,32,4.13,315168.0,1200.0,100.75,417.73
cr_audio1.flac,32,4.14,304864.0,1200.0,100.62,415.51
cr_audio1.flac,32,4.11,312168.0,1200.0,100.45,411.24
cr_audio1.flac,32,4.12,312596.0,1200.0,100.59,417.24
cr_audio1.flac,32,4.12,311412.0,1200.0,100.51,416.45
cr_audio1.flac,32,4.12,317376.0,1200.0,100.28,415.7
cr_audio1.flac,32,4.11,312976.0,1200.0,100.25,410.42
cr_audio1.flac,1,9.57,302708.0,1600.0,94.68,908.79
cr_audio1.flac,1,9.39,304272.0,1600.0,94.89,891.73
cr_audio1.flac,1,9.39,303912.0,1600.0,94.94,892.34
cr_audio1.flac,1,9.4,302464.0,1600.0,94.87,896.33
cr_audio1.flac,1,9.38,301044.0,1600.0,94.86,891.45
cr_audio1.flac,1,9.43,300696.0,1600.0,94.77,895.43
cr_audio1.flac,1,9.39,301256.0,1600.0,94.63,889.12
cr_audio1.flac,1,9.4,303632.0,1600.0,94.89,891.52
cr_audio1.flac,1,9.38,299276.0,1600.0,94.69,888.62
cr_audio1.flac,1,9.39,303756.0,1600.0,94.83,891.11
cr_audio1.flac,2,4.56,309240.0,1600.0,99.78,454.07
cr_audio1.flac,2,4.56,306588.0,1600.0,99.92,454.76
cr_audio1.flac,2,4.56,305672.0,1600.0,99.93,454.66
cr_audio1.flac,2,4.67,306064.0,1600.0,99.71,468.55
cr_audio1.flac,2,4.84,301596.0,1600.0,99.13,480.73
cr_audio1.flac,2,4.57,308328.0,1600.0,99.72,458.78
cr_audio1.flac,2,4.84,305556.0,1600.0,99.1,481.54
cr_audio1.flac,2,4.58,308800.0,1600.0,99.72,458.73
