Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.wav,1,4.71,896.0,1200.0,92.74,441.01
cr_audio1.wav,1,4.69,896.0,1200.0,92.64,435.73
cr_audio1.wav,1,4.67,896.0,1200.0,93.01,432.61
cr_audio1.wav,1,4.9,892.0,1200.0,92.21,452.41
cr_audio1.wav,1,4.37,892.0,1200.0,93.49,411.7
cr_audio1.wav,1,4.64,896.0,1200.0,92.87,432.55
cr_audio1.wav,1,4.65,892.0,1200.0,92.92,432.39
cr_audio1.wav,1,4.65,892.0,1200.0,93.11,433.44
cr_audio1.wav,1,4.28,892.0,1200.0,94.38,406.17
cr_audio1.wav,1,5.0,892.0,1200.0,92.97,469.87
cr_audio1.wav,2,3.76,1024.0,1200.0,96.49,362.27
cr_audio1.wav,2,3.79,1024.0,1200.0,96.27,366.61
cr_audio1.wav,2,3.78,1024.0,1200.0,96.13,365.87
cr_audio1.wav,2,3.15,1024.0,1200.0,98.96,311.97
cr_audio1.wav,2,3.78,1024.0,1200.0,96.34,366.64
cr_audio1.wav,2,3.75,1024.0,1200.0,96.45,362.16
cr_audio1.wav,2,3.77,1024.0,1200.0,96.33,366.78
cr_audio1.wav,2,4.03,1024.0,1200.0,96.39,385.98
cr_audio1.wav,2,3.82,1024.0,1200.0,97.18,374.54
cr_audio1.wav,2,3.78,1024.0,1200.0,96.16,365.18
cr_audio1.wav,4,3.72,1024.0,1200.0,96.61,357.9
cr_audio1.wav,4,3.73,1020.0,1200.0,96.55,362.68
cr_audio1.wav,4,3.76,1020.0,1200.0,96.39,366.89
cr_audio1.wav,4,3.9,1024.0,1200.0,96.64,376.82
cr_audio1.wav,4,3.73,1020.0,1200.0,96.55,357.53
cr_audio1.wav,4,3.78,1024.0,1200.0,96.17,366.17
cr_audio1.wav,4,3.76,1024.0,1200.0,96.29,361.92
cr_audio1.wav,4,3.76,1024.0,1200.0,96.23,366.18
cr_audio1.wav,4,3.77,1024.0,1200.0,96.46,362.18
cr_audio1.wav,4,3.71,1024.0,1200.0,97.79,366.59
cr_audio1.wav,8,3.8,1024.0,1200.0,96.5,367.29
cr_audio1.wav,8,3.8,1024.0,1200.0,96.28,366.4
cr_audio1.wav,8,3.74,1024.0,1200.0,96.41,362.17
cr_audio1.wav,8,3.79,1024.0,1200.0,95.75,364.07
cr_audio1.wav,8,3.77,1024.0,1200.0,96.13,360.94
cr_audio1.wav,8,3.8,1020.0,1200.0,97.66,371.66
cr_audio1.wav,8,3.8,1024.0,1200.0,96.23,366.38
cr_audio1.wav,8,3.73,1024.0,1200.0,96.64,357.38
cr_audio1.wav,8,3.73,1024.0,1200.0,96.38,362.08
cr_audio1.wav,8,3.74,1024.0,1200.0,96.49,362.43
cr_audio1.wav,16,3.78,1024.0,1200.0,97.84,372.22
cr_audio1.wav,16,3.79,1024.0,1200.0,96.36,367.42
cr_audio1.wav,16,3.75,1024.0,1200.0,96.43,367.0
cr_audio1.wav,16,3.75,1024.0,1200.0,96.27,366.64
cr_audio1.wav,16,3.76,1024.0,1200.0,96.34,360.87
cr_audio1.wav,16,4.53,1024.0,1200.0,96.94,441.72
cr_audio1.wav,16,3.8,1020.0,1200.0,96.06,365.6
cr_audio1.wav,16,3.97,1024.0,1200.0,97.76,386.48
cr_audio1.wav,16,3.81,1024.0,1200.0,96.27,366.35
cr_audio1.wav,16,3.79,1024.0,1200.0,96.02,364.96
cr_audio1.wav,32,3.01,1024.0,1200.0,99.75,305.56
cr_audio1.wav,32,3.77,1024.0,1200.0,96.5,362.25
cr_audio1.wav,32,3.79,1024.0,1200.0,96.97,369.53
cr_audio1.wav,32,3.8,1020.0,1200.0,96.39,360.26
cr_audio1.wav,32,3.72,1024.0,1200.0,96.56,361.05
cr_audio1.wav,32,3.6,1020.0,1200.0,98.18,353.92
cr_audio1.wav,32,3.74,1024.0,1200.0,95.63,359.26
cr_audio1.wav,32,3.74,1024.0,1200.0,96.45,362.37
cr_audio1.wav,32,3.85,1024.0,1200.0,96.76,373.24
cr_audio1.wav,32,3.75,1020.0,1200.0,96.54,362.6
cr_audio1.wav,1,3.69,896.0,1600.0,95.0,351.79
cr_audio1.wav,1,3.68,892.0,1600.0,95.34,348.14
cr_audio1.wav,1,3.7,896.0,1600.0,94.82,351.07
cr_audio1.wav,1,3.63,896.0,1600.0,95.11,347.28
cr_audio1.wav,1,3.62,896.0,1600.0,95.04,347.82
cr_audio1.wav,1,2.89,896.0,1600.0,98.81,286.87
cr_audio1.wav,1,3.64,896.0,1600.0,95.19,347.93
cr_audio1.wav,1,3.65,892.0,1600.0,95.18,347.33
cr_audio1.wav,1,3.65,896.0,1600.0,95.47,348.97
cr_audio1.wav,1,3.67,896.0,1600.0,95.34,348.18
cr_audio1.wav,2,3.02,1024.0,1600.0,99.4,303.48
cr_audio1.wav,2,3.05,1024.0,1600.0,99.46,303.69
cr_audio1.wav,2,3.04,1020.0,1600.0,100.22,306.05
cr_audio1.wav,2,3.07,1024.0,1600.0,99.41,303.44
cr_audio1.wav,2,3.04,1024.0,1600.0,99.42,303.58
cr_audio1.wav,2,3.01,1024.0,1600.0,99.53,298.87
cr_audio1.wav,2,3.06,1024.0,1600.0,99.16,307.77
cr_audio1.wav,2,3.05,1020.0,1600.0,99.91,305.16
cr_audio1.wav,2,3.06,1024.0,1600.0,100.21,306.03
cr_audio1.wav,2,3.09,1024.0,1600.0,99.27,303.16
cr_audio1.wav,4,3.01,1024.0,1600.0,100.33,306.39
cr_audio1.wav,4,3.02,1024.0,1600.0,100.56,302.89
cr_audio1.wav,4,3.01,1024.0,1600.0,99.8,305.45
cr_audio1.wav,4,3.02,1024.0,1600.0,103.23,309.94
cr_audio1.wav,4,3.03,1024.0,1600.0,100.06,301.97
cr_audio1.wav,4,3.01,1020.0,1600.0,101.2,304.15
cr_audio1.wav,4,3.03,1024.0,1600.0,99.57,304.11
cr_audio1.wav,4,3.05,1024.0,1600.0,99.55,301.77
cr_audio1.wav,4,3.02,1024.0,1600.0,99.69,299.23
cr_audio1.wav,4,3.06,1024.0,1600.0,99.47,303.52
cr_audio1.wav,8,3.08,1024.0,1600.0,100.23,306.04
cr_audio1.wav,8,3.02,1024.0,1600.0,100.19,305.99
cr_audio1.wav,8,3.04,1024.0,1600.0,100.31,306.28
cr_audio1.wav,8,3.05,1020.0,1600.0,99.34,303.6
cr_audio1.wav,8,2.67,1020.0,1600.0,103.5,274.44
cr_audio1.wav,8,3.04,1024.0,1600.0,101.6,310.1
cr_audio1.wav,8,3.42,1024.0,1600.0,98.37,338.71
cr_audio1.wav,8,3.0,1028.0,1600.0,99.73,299.64
cr_audio1.wav,8,3.05,1024.0,1600.0,97.5,341.41
cr_audio1.wav,8,2.99,1024.0,1600.0,99.58,299.09
cr_audio1.wav,16,2.99,1024.0,1600.0,100.73,302.25
cr_audio1.wav,16,3.03,1024.0,1600.0,99.64,302.98
cr_audio1.wav,16,3.03,1024.0,1600.0,100.66,302.48
cr_audio1.wav,16,3.03,1024.0,1600.0,99.5,303.86
cr_audio1.wav,16,3.04,1020.0,1600.0,99.4,303.52
cr_audio1.wav,16,3.05,1024.0,1600.0,100.78,307.77
cr_audio1.wav,16,2.41,1024.0,1600.0,105.14,252.81
cr_audio1.wav,16,3.06,1024.0,1600.0,99.23,307.99
cr_audio1.wav,16,3.04,1024.0,1600.0,99.54,304.08
cr_audio1.wav,16,3.04,1024.0,1600.0,105.18,321.34
cr_audio1.wav,32,3.13,1024.0,1600.0,98.74,311.45
cr_audio1.wav,32,2.27,1024.0,1600.0,105.71,237.82
cr_audio1.wav,32,3.07,1024.0,1600.0,99.86,309.48
cr_audio1.wav,32,3.08,1024.0,1600.0,99.61,309.06
cr_audio1.wav,32,3.01,1024.0,1600.0,99.81,299.87
cr_audio1.wav,32,3.03,1024.0,1600.0,99.76,302.94
cr_audio1.wav,32,3.01,1020.0,1600.0,99.41,298.84
