Name,TR,TIM,MEM,FR,POW,EN
cr_audio1.wav,1,39.51,25992.0,1200.0,103.2,578.54
cr_audio1.wav,1,39.4,25956.0,1200.0,93.31,3685.96
cr_audio1.wav,1,39.37,26040.0,1200.0,93.74,3697.64
cr_audio1.wav,1,39.34,25932.0,1200.0,93.84,3697.1
cr_audio1.wav,1,39.54,27084.0,1200.0,93.34,3668.41
cr_audio1.wav,1,39.33,26808.0,1200.0,93.77,3707.88
cr_audio1.wav,1,39.35,25936.0,1200.0,93.69,3686.48
cr_audio1.wav,1,39.63,26076.0,1200.0,93.1,3663.47
cr_audio1.wav,1,39.42,26056.0,1200.0,92.16,3654.28
cr_audio1.wav,1,39.68,26068.0,1200.0,93.13,3674.02
cr_audio1.wav,2,30.53,36168.0,1200.0,93.88,3722.32
cr_audio1.wav,2,30.33,36088.0,1200.0,95.42,2915.29
cr_audio1.wav,2,30.28,36132.0,1200.0,95.52,2894.54
cr_audio1.wav,2,30.4,36268.0,1200.0,95.45,2892.1
cr_audio1.wav,2,30.64,36024.0,1200.0,95.52,2904.11
cr_audio1.wav,2,30.07,36212.0,1200.0,95.42,2924.81
cr_audio1.wav,2,30.11,36164.0,1200.0,95.67,2874.65
cr_audio1.wav,2,30.18,36296.0,1200.0,95.42,2873.79
cr_audio1.wav,2,30.11,36140.0,1200.0,95.4,2876.4
cr_audio1.wav,2,30.17,36216.0,1200.0,95.54,2880.08
cr_audio1.wav,4,20.47,74976.0,1200.0,95.63,2888.4
cr_audio1.wav,4,21.14,75352.0,1200.0,97.56,2000.29
cr_audio1.wav,4,21.01,70448.0,1200.0,96.6,2043.47
cr_audio1.wav,4,21.04,75328.0,1200.0,97.42,2051.33
cr_audio1.wav,4,20.33,74532.0,1200.0,97.31,2048.53
cr_audio1.wav,4,21.16,74764.0,1200.0,97.5,1984.26
cr_audio1.wav,4,20.37,75364.0,1200.0,96.95,2051.68
cr_audio1.wav,4,20.37,72512.0,1200.0,97.56,1990.12
cr_audio1.wav,4,20.45,72996.0,1200.0,97.81,1991.66
cr_audio1.wav,4,20.52,75368.0,1200.0,97.69,1997.72
cr_audio1.wav,8,14.09,161272.0,1200.0,97.38,1996.51
cr_audio1.wav,8,14.37,174836.0,1200.0,99.7,1406.3
cr_audio1.wav,8,14.33,175844.0,1200.0,99.23,1428.34
cr_audio1.wav,8,14.36,170720.0,1200.0,99.45,1427.53
cr_audio1.wav,8,14.3,172504.0,1200.0,99.28,1424.26
cr_audio1.wav,8,14.32,164528.0,1200.0,99.26,1419.82
cr_audio1.wav,8,14.42,166592.0,1200.0,99.43,1427.32
cr_audio1.wav,8,14.39,171004.0,1200.0,99.41,1431.64
cr_audio1.wav,8,14.36,166276.0,1200.0,99.01,1425.97
cr_audio1.wav,8,14.39,177452.0,1200.0,99.28,1429.87
cr_audio1.wav,16,9.98,206452.0,1200.0,99.28,1429.98
cr_audio1.wav,16,9.76,211796.0,1200.0,101.62,1016.8
cr_audio1.wav,16,9.79,190364.0,1200.0,103.05,1010.28
cr_audio1.wav,16,9.79,194368.0,1200.0,102.45,1004.0
cr_audio1.wav,16,9.8,198824.0,1200.0,102.19,1002.92
cr_audio1.wav,16,9.75,195456.0,1200.0,102.1,1001.03
cr_audio1.wav,16,10.16,206836.0,1200.0,102.31,998.58
cr_audio1.wav,16,9.74,213420.0,1200.0,101.43,1034.79
cr_audio1.wav,16,9.79,193560.0,1200.0,102.18,1000.5
cr_audio1.wav,16,9.89,207800.0,1200.0,102.2,1002.02
cr_audio1.wav,32,6.94,288800.0,1200.0,101.84,1008.93
cr_audio1.wav,32,6.91,285472.0,1200.0,106.87,743.56
cr_audio1.wav,32,6.82,285208.0,1200.0,108.08,746.38
cr_audio1.wav,32,6.93,288484.0,1200.0,107.02,733.79
cr_audio1.wav,32,6.94,287412.0,1200.0,106.8,737.57
cr_audio1.wav,32,7.01,285040.0,1200.0,106.91,743.71
cr_audio1.wav,32,6.96,291104.0,1200.0,107.86,755.57
cr_audio1.wav,32,6.95,287364.0,1200.0,106.9,743.25
cr_audio1.wav,32,6.94,288760.0,1200.0,106.62,740.79
cr_audio1.wav,32,6.98,289228.0,1200.0,106.67,743.49
cr_audio1.wav,1,29.52,26152.0,1600.0,113.03,453.02
cr_audio1.wav,1,29.47,26076.0,1600.0,95.92,2829.64
cr_audio1.wav,1,29.51,25932.0,1600.0,94.86,2793.24
cr_audio1.wav,1,29.51,25128.0,1600.0,95.97,2830.85
cr_audio1.wav,1,29.67,27792.0,1600.0,95.96,2835.8
cr_audio1.wav,1,29.78,25972.0,1600.0,95.86,2847.31
cr_audio1.wav,1,29.72,25932.0,1600.0,95.58,2848.78
cr_audio1.wav,1,29.61,25972.0,1600.0,95.85,2852.0
cr_audio1.wav,1,29.52,26108.0,1600.0,95.51,2831.98
cr_audio1.wav,1,29.9,26908.0,1600.0,95.67,2822.17
cr_audio1.wav,2,22.96,36388.0,1600.0,95.61,2858.73
cr_audio1.wav,2,22.96,35440.0,1600.0,98.58,2262.75
cr_audio1.wav,2,22.68,36288.0,1600.0,98.36,2257.76
cr_audio1.wav,2,22.58,36328.0,1600.0,98.63,2239.15
cr_audio1.wav,2,22.55,38328.0,1600.0,98.89,2229.71
cr_audio1.wav,2,22.69,36276.0,1600.0,98.61,2223.43
cr_audio1.wav,2,23.38,36272.0,1600.0,99.12,2250.27
cr_audio1.wav,2,22.89,36164.0,1600.0,98.2,2293.41
cr_audio1.wav,2,22.8,36388.0,1600.0,98.62,2258.88
cr_audio1.wav,2,22.54,36328.0,1600.0,98.53,2246.81
cr_audio1.wav,4,16.02,74964.0,1600.0,98.88,2228.53
cr_audio1.wav,4,15.45,75704.0,1600.0,101.64,1631.59
cr_audio1.wav,4,15.99,75748.0,1600.0,102.03,1582.02
cr_audio1.wav,4,15.9,75544.0,1600.0,101.86,1630.34
cr_audio1.wav,4,15.3,75440.0,1600.0,101.82,1624.51
cr_audio1.wav,4,16.03,75704.0,1600.0,102.65,1575.9
cr_audio1.wav,4,15.34,75548.0,1600.0,101.65,1631.85
cr_audio1.wav,4,16.01,74524.0,1600.0,102.63,1575.67
cr_audio1.wav,4,15.86,70628.0,1600.0,100.84,1613.64
cr_audio1.wav,4,16.04,74792.0,1600.0,101.36,1607.33
cr_audio1.wav,8,10.84,169488.0,1600.0,101.02,1621.46
cr_audio1.wav,8,10.97,173084.0,1600.0,105.67,1146.28
cr_audio1.wav,8,10.35,169976.0,1600.0,105.33,1159.24
cr_audio1.wav,8,10.92,158980.0,1600.0,106.85,1106.91
cr_audio1.wav,8,10.19,176860.0,1600.0,105.37,1154.3
cr_audio1.wav,8,10.93,163592.0,1600.0,107.21,1093.9
cr_audio1.wav,8,10.95,173828.0,1600.0,105.5,1154.26
cr_audio1.wav,8,11.1,173020.0,1600.0,105.53,1156.23
cr_audio1.wav,8,11.13,172196.0,1600.0,105.24,1168.26
cr_audio1.wav,8,10.27,173848.0,1600.0,105.25,1174.2
cr_audio1.wav,16,7.48,200456.0,1600.0,106.66,1093.98
cr_audio1.wav,16,7.61,214200.0,1600.0,109.85,824.91
cr_audio1.wav,16,6.76,197384.0,1600.0,109.68,834.54
cr_audio1.wav,16,7.71,204732.0,1600.0,113.49,772.29
cr_audio1.wav,16,7.55,211980.0,1600.0,109.25,847.29
cr_audio1.wav,16,7.55,213220.0,1600.0,109.83,835.29
cr_audio1.wav,16,7.46,208900.0,1600.0,110.19,832.57
cr_audio1.wav,16,7.47,211556.0,1600.0,109.91,825.14
cr_audio1.wav,16,7.55,213448.0,1600.0,109.87,824.95
cr_audio1.wav,16,7.54,214440.0,1600.0,109.74,829.76
cr_audio1.wav,32,5.41,290672.0,1600.0,109.56,827.31
cr_audio1.wav,32,5.33,289480.0,1600.0,114.7,626.4
cr_audio1.wav,32,5.34,288032.0,1600.0,114.96,616.15
cr_audio1.wav,32,5.75,286116.0,1600.0,114.82,615.44
cr_audio1.wav,32,5.41,291708.0,1600.0,112.95,650.74
cr_audio1.wav,32,5.45,286680.0,1600.0,114.32,618.46
cr_audio1.wav,32,5.29,288456.0,1600.0,114.43,624.69
cr_audio1.wav,32,5.43,268852.0,1600.0,115.09,611.19
cr_audio1.wav,32,5.35,286284.0,1600.0,114.52,625.35
cr_audio1.wav,32,5.32,284164.0,1600.0,116.65,625.04
cr_audio1.wav,1,26.99,26084.0,1800.0,116.91,428.09
cr_audio1.wav,1,26.75,25976.0,1800.0,96.36,2601.81
cr_audio1.wav,1,26.73,27512.0,1800.0,97.37,2609.52
cr_audio1.wav,1,26.25,25932.0,1800.0,97.35,2604.31
cr_audio1.wav,1,26.2,27412.0,1800.0,97.42,2557.21
cr_audio1.wav,1,26.25,25940.0,1800.0,97.25,2547.65
cr_audio1.wav,1,26.97,25940.0,1800.0,97.72,2569.93
cr_audio1.wav,1,26.9,26168.0,1800.0,97.23,2625.35
cr_audio1.wav,1,26.49,25912.0,1800.0,96.3,2590.57
